Pin,Occurrence, Percentage
926,568 0,0.046937998
616,564 0,0.046607449
418,562 0,0.046442174
1966,562 0,0.046442174
923,561 0,0.046359537
510,560 0,0.046276899
11,560 0,0.046276899
1967,559 0,0.046194262
818,557 0,0.046028988
120,557 0,0.046028988
613,556 0,0.04594635
824,554 0,0.045781076
302,554 0,0.045781076
628,554 0,0.045781076
612,553 0,0.045698438
508,553 0,0.045698438
309,552 0,0.045615801
128,551 0,0.045533164
621,551 0,0.045533164
915,550 0,0.045450526
1200,548 0,0.045285252
417,546 0,0.045119977
5412,545 0,0.04503734
714,543 0,0.044872065
524,541 0,0.04470679
225,541 0,0.04470679
608,541 0,0.04470679
826,540 0,0.044624153
410,539 0,0.044541516
728,539 0,0.044541516
814,539 0,0.044541516
825,537 0,0.044376241
816,536 0,0.044293604
413,535 0,0.044210966
126,535 0,0.044210966
228,534 0,0.044128329
522,534 0,0.044128329
811,532 0,0.043963055
423,531 0,0.043880417
624,530 0,0.04379778
421,530 0,0.04379778
219,529 0,0.043715143
505,528 0,0.043632505
1258,527 0,0.043549868
2323,527 0,0.043549868
925,525 0,0.043384593
918,525 0,0.043384593
828,524 0,0.043301956
809,523 0,0.043219319
327,522 0,0.043136681
514,521 0,0.043054044
317,520 0,0.042971407
502,519 0,0.042888769
927,519 0,0.042888769
9958,517 0,0.042723495
428,517 0,0.042723495
414,517 0,0.042723495
819,517 0,0.042723495
528,516 0,0.042640857
519,515 0,0.04255822
723,514 0,0.042475583
416,514 0,0.042475583
922,514 0,0.042475583
610,513 0,0.042392945
526,512 0,0.042310308
208,511 0,0.042227671
712,511 0,0.042227671
910,511 0,0.042227671
829,510 0,0.042145033
2012,509 0,0.042062396
401,509 0,0.042062396
3166,508 0,0.041979759
504,506 0,0.041814484
907,505 0,0.041731847
615,504 0,0.04164921
207,503 0,0.041566572
921,502 0,0.041483935
220,502 0,0.041483935
7890,502 0,0.041483935
328,501 0,0.041401298
820,500 0,0.04131866
323,500 0,0.04131866
914,499 0,0.041236023
2233,498 0,0.041153386
725,498 0,0.041153386
5858,497 0,0.041070748
308,497 0,0.041070748
3721,495 0,0.040905474
426,494 0,0.040822836
822,493 0,0.040740199
603,492 0,0.040657562
9420,492 0,0.040657562
713,491 0,0.040574924
6969,491 0,0.040574924
821,491 0,0.040574924
724,490 0,0.040492287
906,489 0,0.04040965
2345,488 0,0.040327012
812,487 0,0.040244375
12,487 0,0.040244375
226,486 0,0.040161738
924,485 0,0.0400791
503,485 0,0.0400791
611,482 0,0.039831188
715,481 0,0.039748551
709,481 0,0.039748551
405,480 0,0.039665914
711,480 0,0.039665914
419,479 0,0.039583277
701,478 0,0.039500639
223,476 0,0.039335365
429,474 0,0.03917009
422,474 0,0.03917009
929,474 0,0.03917009
817,473 0,0.039087453
106,472 0,0.039004815
402,469 0,0.038756903
329,469 0,0.038756903
103,468 0,0.038674266
129,467 0,0.038591629
6789,466 0,0.038508991
710,466 0,0.038508991
322,466 0,0.038508991
319,465 0,0.038426354
622,465 0,0.038426354
122,464 0,0.038343717
1412,464 0,0.038343717
626,463 0,0.038261079
307,463 0,0.038261079
716,462 0,0.038178442
108,461 0,0.038095805
4567,459 0,0.03793053
721,458 0,0.037847893
1965,457 0,0.037765255
627,455 0,0.037599981
107,452 0,0.037352069
620,451 0,0.037269432
805,451 0,0.037269432
118,449 0,0.037104157
529,448 0,0.03702152
722,447 0,0.036938882
810,447 0,0.036938882
619,446 0,0.036856245
127,446 0,0.036856245
913,444 0,0.03669097
4545,443 0,0.036608333
813,443 0,0.036608333
5921,442 0,0.036525696
629,441 0,0.036443058
1963,441 0,0.036443058
406,440 0,0.036360421
221,440 0,0.036360421
105,439 0,0.036277784
509,439 0,0.036277784
5240,436 0,0.036029872
408,434 0,0.035864597
407,432 0,0.035699322
209,432 0,0.035699322
607,431 0,0.035616685
1437,430 0,0.035534048
902,429 0,0.03545141
614,429 0,0.03545141
1964,429 0,0.03545141
409,428 0,0.035368773
109,428 0,0.035368773
9421,428 0,0.035368773
617,428 0,0.035368773
224,425 0,0.035120861
2013,425 0,0.035120861
718,425 0,0.035120861
903,425 0,0.035120861
5920,421 0,0.034790312
708,421 0,0.034790312
602,420 0,0.034707675
604,420 0,0.034707675
1943,420 0,0.034707675
919,419 0,0.034625037
609,417 0,0.034459763
507,416 0,0.034377125
920,414 0,0.034211851
115,414 0,0.034211851
908,412 0,0.034046576
1324,412 0,0.034046576
5213,412 0,0.034046576
720,412 0,0.034046576
827,411 0,0.033963939
227,410 0,0.033881301
1245,409 0,0.033798664
717,409 0,0.033798664
7878,407 0,0.033633389
147,406 0,0.033550752
905,406 0,0.033550752
605,405 0,0.033468115
121,405 0,0.033468115
1960,405 0,0.033468115
427,404 0,0.033385477
803,403 0,0.03330284
424,402 0,0.033220203
9988,402 0,0.033220203
801,401 0,0.033137566
403,398 0,0.032889654
804,397 0,0.032807016
726,397 0,0.032807016
9876,394 0,0.032559104
719,394 0,0.032559104
702,393 0,0.032476467
703,390 0,0.032228555
802,390 0,0.032228555
5120,389 0,0.032145918
901,388 0,0.03206328
1414,385 0,0.031815368
729,385 0,0.031815368
530,383 0,0.031650094
727,378 0,0.031236907
404,378 0,0.031236907
1300,377 0,0.03115427
117,376 0,0.031071633
330,376 0,0.031071633
807,375 0,0.030988995
904,373 0,0.030823721
630,372 0,0.030741083
706,371 0,0.030658446
113,369 0,0.030493171
112,368 0,0.030410534
110,367 0,0.030327897
1962,365 0,0.030162622
5656,363 0,0.029997347
114,360 0,0.029749435
1413,359 0,0.029666798
8989,355 0,0.029336249
1254,354 0,0.029253611
5945,353 0,0.029170974
116,351 0,0.029005699
704,349 0,0.028840425
1320,347 0,0.02867515
1956,347 0,0.02867515
531,345 0,0.028509876
451,345 0,0.028509876
987,344 0,0.028427238
3456,341 0,0.028179326
222,339 0,0.028014052
830,339 0,0.028014052
258,338 0,0.027931414
8686,337 0,0.027848777
5588,335 0,0.027683502
5418,333 0,0.027518228
1860,330 0,0.027270316
130,329 0,0.027187678
705,323 0,0.026691855
2211,323 0,0.026691855
1515,322 0,0.026609217
930,315 0,0.026030756
5252,315 0,0.026030756
119,314 0,0.025948119
1949,313 0,0.025865481
1955,312 0,0.025782844
2112,311 0,0.025700207
10,310 0,0.025617569
1717,309 0,0.025534932
8848,308 0,0.025452295
5300,307 0,0.025369657
4587,302 0,0.024956471
5233,302 0,0.024956471
1961,296 0,0.024460647
1959,294 0,0.024295372
1919,293 0,0.024212735
1958,292 0,0.024130098
8858,289 0,0.023882186
1957,289 0,0.023882186
9394,288 0,0.023799548
1232,287 0,0.023716911
1312,284 0,0.023468999
6868,284 0,0.023468999
1520,283 0,0.023386362
9898,283 0,0.023386362
831,280 0,0.02313845
5520,280 0,0.02313845
5203,278 0,0.022973175
1250,276 0,0.0228079
5320,276 0,0.0228079
4455,276 0,0.0228079
2099,275 0,0.022725263
2599,274 0,0.022642626
111,274 0,0.022642626
7456,271 0,0.022394714
3310,268 0,0.022146802
731,268 0,0.022146802
8787,268 0,0.022146802
430,267 0,0.022064165
5217,266 0,0.021981527
8811,263 0,0.021733615
2100,262 0,0.021650978
5230,262 0,0.021650978
932,261 0,0.021568341
1256,261 0,0.021568341
5218,260 0,0.021485703
5426,259 0,0.021403066
1573,258 0,0.021320429
8585,258 0,0.021320429
1954,258 0,0.021320429
2500,256 0,0.021155154
131,256 0,0.021155154
1321,256 0,0.021155154
532,256 0,0.021155154
8210,255 0,0.021072517
7,255 0,0.021072517
331,253 0,0.020907242
1516,253 0,0.020907242
1478,252 0,0.020824605
5521,250 0,0.02065933
5454,249 0,0.020576693
3030,247 0,0.020411418
1452,246 0,0.020328781
8246,244 0,0.020163506
730,244 0,0.020163506
8201,243 0,0.020080869
2014,242 0,0.019998232
8088,240 0,0.019832957
577,239 0,0.01975032
5354,239 0,0.01975032
8800,239 0,0.01975032
1900,239 0,0.01975032
1701,238 0,0.019667682
5421,236 0,0.019502408
1415,236 0,0.019502408
7007,235 0,0.01941977
5820,234 0,0.019337133
1945,233 0,0.019254496
8808,232 0,0.019171858
2199,231 0,0.019089221
8008,231 0,0.019089221
5288,230 0,0.019006584
5202,230 0,0.019006584
4399,230 0,0.019006584
5212,229 0,0.018923946
70,228 0,0.018841309
88,227 0,0.018758672
5208,226 0,0.018676034
1616,226 0,0.018676034
1937,224 0,0.01851076
5168,224 0,0.01851076
5214,222 0,0.018345485
3866,222 0,0.018345485
1325,219 0,0.018097573
769,217 0,0.017932299
9900,217 0,0.017932299
8512,216 0,0.017849661
3232,215 0,0.017767024
1350,215 0,0.017767024
5000,215 0,0.017767024
1133,214 0,0.017684387
2288,213 0,0.017601749
2424,213 0,0.017601749
3303,212 0,0.017519112
9000,212 0,0.017519112
1950,212 0,0.017519112
99,210 0,0.017353837
5683,210 0,0.017353837
5277,210 0,0.017353837
3321,209 0,0.0172712
2828,209 0,0.0172712
1188,208 0,0.017188563
9090,208 0,0.017188563
9413,207 0,0.017105925
8812,207 0,0.017105925
1238,206 0,0.017023288
3211,205 0,0.016940651
2651,205 0,0.016940651
2200,204 0,0.016858013
5050,203 0,0.016775376
3636,201 0,0.016610101
3366,201 0,0.016610101
2589,201 0,0.016610101
2626,201 0,0.016610101
1369,201 0,0.016610101
1379,200 0,0.016527464
7474,199 0,0.016444827
9494,198 0,0.016362189
5216,198 0,0.016362189
1908,198 0,0.016362189
3214,198 0,0.016362189
83,198 0,0.016362189
1618,197 0,0.016279552
2356,197 0,0.016279552
1952,196 0,0.016196915
1346,195 0,0.016114277
5151,195 0,0.016114277
1953,194 0,0.01603164
8521,194 0,0.01603164
8877,194 0,0.01603164
1315,193 0,0.015949003
4585,192 0,0.015866366
5207,192 0,0.015866366
6699,191 0,0.015783728
